Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Chole Bhature,"onion, lentils, spinach",Veg,"side dish, lunch","1. Gather all ingredients: onion, lentils, spinach. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Biryani,"salami, anchovy, broccoli, paneer",Non-Veg,"dinner, main course","1. Gather all ingredients: salami, anchovy, broccoli, paneer. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Biryani,"beef, cauliflower, spinach, carrot",Non-Veg,"main course, brunch, supper","1. Gather all ingredients: beef, cauliflower, spinach, carrot. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken 65,"mutton, anchovy, cheese, paneer, spinach",Non-Veg,"appetizer, dinner","1. Gather all ingredients: mutton, anchovy, cheese, paneer, spinach. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Aloo Tikki,"rice, onion, carrot, lentils, beans",Veg,breakfast,"1. Gather all ingredients: rice, onion, carrot, lentils, beans. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Stuffed Capsicum,"mushroom, broccoli, onion, rice, potato",Veg,"lunch, snack","1. Gather all ingredients: mushroom, broccoli, onion, rice, potato. 2. Prepare the ingredients for stuffed capsicum (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Shawarma,"chicken, egg, peas, tomato, paneer",Non-Veg,"brunch, appetizer","1. Gather all ingredients: chicken, egg, peas, tomato, paneer. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Upma,"broccoli, mushroom, corn, carrot, rice",Veg,"brunch, supper, appetizer","1. Gather all ingredients: broccoli, mushroom, corn, carrot, rice. 2. Prepare the ingredients for upma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Pav Bhaji,"potato, rice, paneer, lentils, tomato",Veg,snack,"1. Gather all ingredients: potato, rice, paneer, lentils, tomato. 2. Prepare the ingredients for pav bhaji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Korma,"turkey, peas, onion, beans",Non-Veg,lunch,"1. Gather all ingredients: turkey, peas, onion, beans. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mix Veg Curry,"paneer, cauliflower, mushroom, peas",Veg,snack,"1. Gather all ingredients: paneer, cauliflower, mushroom, peas. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chana Masala,"potato, cheese, paneer, lentils, cauliflower",Veg,side dish,"1. Gather all ingredients: potato, cheese, paneer, lentils, cauliflower. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Tandoori Chicken,"bacon, beef, mushroom, peas, potato",Non-Veg,lunch,"1. Gather all ingredients: bacon, beef, mushroom, peas, potato. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Pakora,"cauliflower, onion, corn",Veg,"brunch, main course","1. Gather all ingredients: cauliflower, onion, corn. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Biryani,"anchovy, beans, potato",Non-Veg,"brunch, side dish","1. Gather all ingredients: anchovy, beans, potato. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Egg Bhurji,"bacon, anchovy, potato, beetroot",Non-Veg,supper,"1. Gather all ingredients: bacon, anchovy, potato, beetroot. 2. Prepare the ingredients for egg bhurji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"egg, bacon, carrot, onion, lentils",Non-Veg,"supper, breakfast","1. Gather all ingredients: egg, bacon, carrot, onion, lentils. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Palak Paneer,"peas, beans, potato",Veg,snack,"1. Gather all ingredients: peas, beans, potato. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken 65,"prawns, paneer, tomato",Non-Veg,"brunch, main course","1. Gather all ingredients: prawns, paneer, tomato. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Rajma Chawal,"rice, spinach, cauliflower",Veg,"side dish, brunch","1. Gather all ingredients: rice, spinach, cauliflower. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Rogan Josh,"fish, salami, spinach, rice",Non-Veg,"breakfast, appetizer","1. Gather all ingredients: fish, salami, spinach, rice. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"fish, salami, cheese, spinach",Non-Veg,"main course, brunch, lunch","1. Gather all ingredients: fish, salami, cheese, spinach. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"prawns, beef, paneer, broccoli, onion",Non-Veg,appetizer,"1. Gather all ingredients: prawns, beef, paneer, broccoli, onion. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Samosa,"cauliflower, potato, mushroom, corn, broccoli",Veg,"snack, main course, side dish","1. Gather all ingredients: cauliflower, potato, mushroom, corn, broccoli. 2. Prepare the ingredients for samosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Prawn Masala,"prawns, beans, cheese, lentils",Non-Veg,breakfast,"1. Gather all ingredients: prawns, beans, cheese, lentils. 2. Prepare the ingredients for prawn masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dhokla,"beans, carrot, lentils",Veg,"snack, dinner","1. Gather all ingredients: beans, carrot, lentils. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Fry,"mutton, onion, potato",Non-Veg,"dinner, snack, lunch","1. Gather all ingredients: mutton, onion, potato. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Pakora,"paneer, tomato, corn, cauliflower, onion",Veg,"appetizer, lunch, side dish","1. Gather all ingredients: paneer, tomato, corn, cauliflower, onion. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kathi Roll,"salami, chicken, beetroot, spinach",Non-Veg,"breakfast, supper, main course","1. Gather all ingredients: salami, chicken, beetroot, spinach. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Poha,"corn, peas, cheese, potato, carrot",Veg,"snack, appetizer","1. Gather all ingredients: corn, peas, cheese, potato, carrot. 2. Prepare the ingredients for poha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Prawn Masala,"egg, capsicum, corn",Non-Veg,"snack, lunch, supper","1. Gather all ingredients: egg, capsicum, corn. 2. Prepare the ingredients for prawn masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Egg Curry,"beef, broccoli, rice, cauliflower",Non-Veg,"breakfast, dinner","1. Gather all ingredients: beef, broccoli, rice, cauliflower. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kachori,"corn, broccoli, tomato, capsicum",Veg,"snack, appetizer, supper","1. Gather all ingredients: corn, broccoli, tomato, capsicum. 2. Prepare the ingredients for kachori (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"prawns, fish, lentils, spinach, tomato",Non-Veg,supper,"1. Gather all ingredients: prawns, fish, lentils, spinach, tomato. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Paneer Tikka,"cauliflower, lentils, cheese, beans",Veg,lunch,"1. Gather all ingredients: cauliflower, lentils, cheese, beans. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Korma,"prawns, salami, mushroom, beetroot",Non-Veg,"supper, lunch, snack","1. Gather all ingredients: prawns, salami, mushroom, beetroot. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Besan Chilla,"beans, mushroom, broccoli",Veg,main course,"1. Gather all ingredients: beans, mushroom, broccoli. 2. Prepare the ingredients for besan chilla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Prawn Masala,"bacon, peas, corn, rice",Non-Veg,appetizer,"1. Gather all ingredients: bacon, peas, corn, rice. 2. Prepare the ingredients for prawn masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Roll,"turkey, carrot, spinach, corn",Non-Veg,"dinner, breakfast","1. Gather all ingredients: turkey, carrot, spinach, corn. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Roti Sabzi,"lentils, peas, broccoli",Veg,"dinner, supper, main course","1. Gather all ingredients: lentils, peas, broccoli. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Dhokla,"cauliflower, lentils, onion, cheese, corn",Veg,"side dish, main course, supper","1. Gather all ingredients: cauliflower, lentils, onion, cheese, corn. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kathi Roll,"beef, onion, capsicum",Non-Veg,"supper, side dish, brunch","1. Gather all ingredients: beef, onion, capsicum. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mix Veg Curry,"broccoli, rice, cheese",Veg,"dinner, side dish, supper","1. Gather all ingredients: broccoli, rice, cheese. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Biryani,"mutton, chicken, spinach, beans",Non-Veg,"dinner, breakfast, main course","1. Gather all ingredients: mutton, chicken, spinach, beans. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Tikki Burger,"potato, bun, lettuce, cheese, tomato",Veg,"brunch, breakfast, main course","1. Gather all ingredients: potato, bun, lettuce, cheese, tomato. 2. Prepare the ingredients for aloo tikki burger (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Baingan Bharta,"beetroot, tomato, potato, rice",Veg,"side dish, brunch, breakfast","1. Gather all ingredients: beetroot, tomato, potato, rice. 2. Prepare the ingredients for baingan bharta (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Stuffed Capsicum,"peas, tomato, spinach",Veg,"side dish, snack","1. Gather all ingredients: peas, tomato, spinach. 2. Prepare the ingredients for stuffed capsicum (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Tikka,"mutton, beef, lentils, carrot, rice",Non-Veg,"lunch, snack","1. Gather all ingredients: mutton, beef, lentils, carrot, rice. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Besan Chilla,"beans, broccoli, rice, carrot, mushroom",Veg,lunch,"1. Gather all ingredients: beans, broccoli, rice, carrot, mushroom. 2. Prepare the ingredients for besan chilla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Roti Sabzi,"paneer, potato, cheese, beetroot, spinach",Veg,"breakfast, appetizer","1. Gather all ingredients: paneer, potato, cheese, beetroot, spinach. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Baingan Bharta,"mushroom, cheese, rice, peas",Veg,"supper, side dish","1. Gather all ingredients: mushroom, cheese, rice, peas. 2. Prepare the ingredients for baingan bharta (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Tikki,"capsicum, corn, cheese",Veg,"snack, breakfast, main course","1. Gather all ingredients: capsicum, corn, cheese. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Tikka,"egg, cauliflower, peas, broccoli",Non-Veg,breakfast,"1. Gather all ingredients: egg, cauliflower, peas, broccoli. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Tikki,"onion, spinach, capsicum, carrot, paneer",Veg,"breakfast, brunch","1. Gather all ingredients: onion, spinach, capsicum, carrot, paneer. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Roll,"egg, tomato, spinach, capsicum",Non-Veg,"brunch, side dish, snack","1. Gather all ingredients: egg, tomato, spinach, capsicum. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Vegetable Pulao,"beetroot, mushroom, cauliflower",Veg,"main course, lunch","1. Gather all ingredients: beetroot, mushroom, cauliflower. 2. Prepare the ingredients for vegetable pulao (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Paneer Butter Masala,"capsicum, peas, spinach",Veg,"breakfast, lunch, supper","1. Gather all ingredients: capsicum, peas, spinach. 2. Prepare the ingredients for paneer butter masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Aloo Tikki,"paneer, onion, beans, rice",Veg,"supper, lunch","1. Gather all ingredients: paneer, onion, beans, rice. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Roti Sabzi,"beetroot, rice, tomato",Veg,supper,"1. Gather all ingredients: beetroot, rice, tomato. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Shawarma,"bacon, onion, cheese, broccoli",Non-Veg,"brunch, dinner","1. Gather all ingredients: bacon, onion, cheese, broccoli. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Korma,"beef, onion, potato",Non-Veg,appetizer,"1. Gather all ingredients: beef, onion, potato. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chana Masala,"cauliflower, paneer, rice",Veg,lunch,"1. Gather all ingredients: cauliflower, paneer, rice. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Curry,"chicken, capsicum, peas",Non-Veg,"supper, dinner","1. Gather all ingredients: chicken, capsicum, peas. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
